city,x_coors,y_coors,file
AUGSBURG,14.417138,6.1130595,Augsburg.jpg
AVILA,14.566072,8.076569,Avila.jpg
BAMBERG,12.453693,6.6247344,Bamberg.jpg
BANSKA_BYSTRICA,13.512061,5.4127955,Banska_Bystrica.jpg
BARLETTA,14.176916,8.918308,Barletta.jpg
BASEL,10.875082,7.0967684,Basel.jpg
BEAUVAIS,10.595623,9.011047,Beauvais.jpg
BERN,10.615464,7.19572,Bern.jpg
BIELSKO_BIALA,10.535843,9.075421,Bielsko_Biala.jpg
BURNLEY,10.958171,6.2031403,Burnley.jpg
CALAIS,12.42917,8.293475,Calais.jpg
CAMBRIDGE,10.365749,6.226015,Cambridge.jpg
CELLE,11.716978,8.229538,Celle.jpg
CESKE_BUDEJOVICE,14.203016,6.2251387,Ceske_Budejovice.jpg
CHALONS_EN_CHAMPAGNE,12.842204,6.8363495,Chalons_en_Champagne.jpg
CHELTENHAM,10.303976,6.424468,Cheltenham.jpg
COSENZA,10.976753,9.473431,Cosenza.jpg
DROBETA_TURNU_SEVERIN,13.696574,8.264592,DROBETA_TURNU_SEVERIN.jpg
DUNDEE_CITY,10.123569,6.2427254,Dundee_City.jpg
ELBLAG,13.381489,6.0160456,Elblag.jpg
ENSCHEDE,11.685995,9.3372,Enschede.jpg
FARO,12.6279,9.226348,Faro.jpg
FOGGIA,14.209819,8.721908,Foggia.jpg
FULDA,12.313253,8.195026,Fulda.jpg
GALWAY,13.3484535,6.38102,Galway.jpg
GERA,10.585406,8.736866,Gera.jpg
GLOGOW,12.159527,6.647168,Glogow.jpg
GNIEZNO,12.967265,7.659304,Gniezno.jpg
GOUDA,11.375279,6.1273937,Gouda.jpg
GUIMARAES,11.040207,8.798477,Guimaraes.jpg
HASTINGS,10.363483,6.897406,Hastings.jpg
HRADEC_KRALOVE,13.890003,5.9584675,Hradec_Kralove.jpg
INNSBRUCK,10.776823,6.9668207,Innsbruck.jpg
IOANNINA,13.6021185,6.7433443,Ioannina.jpg
IRUN,11.488581,8.428276,Irun.jpg
KARLOVY_VARY,12.908584,5.6809173,Karlovy_Vary.jpg
KECSKEMET,12.155483,9.04779,Kecskemet.jpg
KORTRIJK,12.728191,8.725721,Kortrijk.jpg
LARISA,14.231528,7.766264,Larisa.jpg
LEMESOS,13.492698,7.948112,Lemesos.jpg
LE_MANS,11.712712,9.0913515,Le_Mans.jpg
LIBEREC,13.19965,5.9324327,Liberec.jpg
LIEPAJA,14.585648,7.411297,Liepaja.jpg
LINCOLN,10.093066,6.264694,Lincoln.jpg
LJUBLJANA,11.516706,7.9092813,Ljubljana.jpg
LUBECK,12.089372,7.3800397,Lubeck.jpg
LUXEMBOURG,12.908327,6.2896876,Luxembourg.jpg
MAASTRICHT,14.046454,6.9171925,Maastricht.jpg
MANRESA,14.51702,8.01209,Manresa.jpg
MARIBOR,11.2843,9.628537,Maribor.jpg
MARTIGUES,11.298902,7.6452217,Martigues.jpg
MODENA,12.533626,9.014666,Modena.jpg
NARVA,11.155336,7.652132,Narva.jpg
NEUMUNSTER,10.91112,7.608575,Neumunster.jpg
NEWPORT,11.111688,7.958601,Newport.jpg
NITRA,14.134842,5.7306485,Nitra.jpg
NYIREGYHAZA,12.185747,8.521216,Nyiregyhaza.jpg
ODENSE,12.043264,8.691471,Odense.jpg
OLOMOUC,14.195553,5.5664425,Olomouc.jpg
OOSTENDE,13.880032,7.419527,Oostende.jpg
ORLEANS,13.640467,5.8389964,Orleans.jpg
OSNABRUCK,11.671161,8.450088,Osnabruck.jpg
OVIEDO,11.033325,9.568022,Oviedo.jpg
PABIANICE,13.617815,6.6140347,Pabianice.jpg
PALENCIA,14.263371,7.123701,Palencia.jpg
PANEVEZYS,14.366196,6.8866324,Panevezys.jpg
PARDUBICE,13.682166,5.884692,Pardubice.jpg
PARMA,13.220784,8.527692,Parma.jpg
PASSAU,10.89359,8.90039,Passau.jpg
PAVIA,12.254354,7.979409,Pavia.jpg
PERPIGNAN,14.602102,8.419305,Perpignan.jpg
PERUGIA,11.766742,9.666903,Perugia.jpg
PESARO,11.635045,9.844174,Pesaro.jpg
PILA,12.281186,7.1114855,Pila.jpg
PLAUEN,10.591007,8.610955,Plauen.jpg
PLOVDIV,14.451987,7.5990205,Plovdiv.jpg
PLZEN,13.900639,5.362096,Plzen.jpg
PODGORICA,11.025785,6.3766956,Podgorica.jpg
PRESOV,14.210735,5.8300166,Presov.jpg
PRILEP,14.062531,7.159805,Prilep.jpg
REYKJAVIK,11.246369,7.2164345,Reykjavik.jpg
RIJEKA,12.694823,6.3803253,Rijeka.jpg
SALZBURG,10.683306,6.5092144,Salzburg.jpg
SATU_MARE,12.981292,8.666219,Satu_Mare.jpg
STAVANGER,10.433505,6.652247,Stavanger.jpg
TARBES,12.761767,8.221908,Tarbes.jpg
TOLEDO,14.610286,8.406817,Toledo.jpg
TULCEA,13.768459,9.088376,Tulcea.jpg
USTI_NAD_LABEM,13.202813,5.5975685,Usti_Nad_Labem.jpg
VALLETTA,14.304559,7.61245,Valletta.jpg
VASTERAS,11.405537,10.032857,Vasteras.jpg
WORCESTER,10.270603,6.4228444,Worcester.jpg
ZILINA,13.926532,5.4125347,Zilina.jpg
